Gene,AUC,clusts,p.value,,,,
Upp1,0.940422323,4,3.10E-13,,,,
Sox2,0.940296631,4,3.94E-14,,,,
Baz2b,0.940045249,4,9.15E-13,,,,
Fn1,0.92615636,4,5.21E-12,,,,
Tdgf1,0.924208145,4,9.76E-12,,,,
E130012A19Rik,0.918049271,4,1.53E-11,,,,
Fgf10,0.914655606,4,1.31E-11,,,,
Col4a1,0.914278532,4,3.24E-11,,,,
Pecam1,0.911513323,4,7.14E-11,,,,
Smpdl3b,0.911136249,4,4.60E-12,,,,
LOC664987,0.90925088,4,7.37E-11,,,,
Rnf130,0.904977376,4,1.31E-10,,,,
Glrx,0.902966315,4,1.35E-10,,,,
Ephx2,0.902777778,4,2.00E-14,,,,
Slc13a5,0.902714932,4,3.46E-16,,,,
Ube2l6,0.896556058,4,5.40E-10,,,,
Zc3hav1,0.896178984,4,2.29E-10,,,,
Jam2,0.894042232,4,3.36E-10,,,,
Pvrl1,0.893036702,4,7.06E-10,,,,
Etv5,0.892156863,4,1.09E-09,,,,
Serpinh1,0.890522876,4,2.15E-12,,,,
Fabp5,0.889643037,4,1.64E-09,,,,
Tat,0.886500754,4,1.41E-09,,,,
Txndc12,0.885620915,4,2.80E-09,,,,
C77370,0.885620915,4,2.00E-09,,,,
Sparc,0.885369532,4,1.13E-09,,,,
4930583H14Rik,0.881850176,4,1.92E-09,,,,
Gm1631,0.880530417,4,3.52E-16,,,,
Gm13139,0.879713424,4,6.27E-09,,,,
Col4a2,0.878456511,4,2.99E-09,,,,
Adck5,0.877953746,4,5.03E-09,,,,
Spp1,0.874308698,4,8.58E-10,,,,
Cyb5r1,0.871166415,4,1.88E-08,,,,
Rpap1,0.870160885,4,2.28E-08,,,,
Gm20362,0.869909502,4,2.14E-08,,,,
Aqp8,0.86821267,4,7.92E-11,,,,
Arid5b,0.867521368,4,3.12E-08,,,,
Ceacam10,0.866704374,4,1.78E-08,,,,
Fbp2,0.866515837,4,3.56E-08,,,,
Acad11,0.865635998,4,3.41E-08,,,,
Sulf2,0.865258924,4,2.67E-08,,,,
Acaa2,0.864253394,4,3.85E-08,,,,
Sik1,0.863122172,4,5.70E-08,,,,
Acadvl,0.862996481,4,5.30E-08,,,,
Adam19,0.862745098,4,1.12E-08,,,,
Dhrs4,0.861111111,4,7.72E-12,,,,
Prss35,0.85910005,4,7.23E-09,,,,
Apoc1,0.858597285,4,1.00E-07,,,,
Zfp459,0.857403218,4,1.80E-08,,,,
Fam25c,0.857277526,4,3.36E-09,,,,
Gjb5,0.854700855,4,3.35E-08,,,,
Sgpl1,0.851747109,4,1.99E-07,,,,
Scd2,0.875304383,5,2.88E-11,,,,
Fam36a,0.863636364,5,1.92E-10,,,,
1810027O10Rik,0.855265828,5,3.05E-10,,,,
Cyb5,0.852475649,5,1.09E-09,,,,
Lgals1,0.995833333,6,4.08E-14,,,,
BC051665,0.995535714,6,9.86E-23,,,,
Gsta1,0.984821429,6,5.79E-15,,,,
Glipr1,0.983184524,6,2.38E-20,,,,
Tspan8,0.98110119,6,3.62E-13,,,,
Gm3776,0.980952381,6,1.34E-15,,,,
Tspan1,0.977529762,6,5.63E-13,,,,
3110003A17Rik,0.977083333,6,1.83E-14,,,,
5730469M10Rik,0.974255952,6,1.82E-13,,,,
Gng2,0.970982143,6,4.87E-14,,,,
Entpd1,0.970833333,6,2.82E-18,,,,
Blnk,0.966815476,6,1.60E-20,,,,
Fabp3,0.965327381,6,6.43E-12,,,,
Cmklr1,0.962946429,6,1.64E-21,,,,
Tmsb4x,0.960863095,6,5.22E-12,,,,
Ctsll3,0.960267857,6,4.28E-31,,,,
Glipr2,0.960119048,6,4.16E-12,,,,
Slc15a2,0.951636905,6,1.91E-12,,,,
Zyx,0.951636905,6,1.57E-11,,,,
Ndrg1,0.949702381,6,2.55E-12,,,,
Anxa2,0.946428571,6,2.79E-11,,,,
Elf5,0.946130952,6,6.06E-19,,,,
S100a10,0.944940476,6,3.71E-11,,,,
Gsta2,0.944642857,6,6.35E-12,,,,
Pdzk1ip1,0.94360119,6,9.77E-15,,,,
Cldn3,0.940997024,6,4.45E-21,,,,
Crip1,0.94047619,6,1.46E-10,,,,
Plac1,0.935193452,6,5.22E-17,,,,
B3gnt5,0.934970238,6,4.92E-12,,,,
Myo1e,0.933630952,6,2.62E-12,,,,
Cnn2,0.931696429,6,4.46E-10,,,,
Adh1,0.93125,6,4.28E-12,,,,
Gata2,0.930952381,6,3.95E-12,,,,
Efhd2,0.930505952,6,4.22E-10,,,,
Tinagl1,0.925223214,6,5.06E-11,,,,
Tagln2,0.923958333,6,1.53E-09,,,,
Ccdc42,0.923809524,6,9.16E-12,,,,
Id2,0.923511905,6,1.44E-09,,,,
Abhd14b,0.923214286,6,2.73E-16,,,,
Gm12169,0.923214286,6,3.87E-11,,,,
Mbnl3,0.917857143,6,6.03E-10,,,,
Lcp1,0.917857143,6,2.77E-09,,,,
Rhoc,0.917113095,6,2.58E-10,,,,
Tpm1,0.916815476,6,4.02E-09,,,,
Krt18,0.915922619,6,3.88E-09,,,,
Efnb1,0.914434524,6,9.02E-15,,,,
Trp53i11,0.913616071,6,4.10E-12,,,,
Dppa1,0.911458333,6,1.27E-09,,,,
Cpne3,0.911160714,6,7.99E-09,,,,
Unc93a,0.9109375,6,1.87E-10,,,,
Gm12070,0.908184524,6,1.10E-08,,,,
Prss8,0.908184524,6,3.28E-09,,,,
Msn,0.907738095,6,5.04E-10,,,,
Mpzl2,0.907142857,6,1.24E-08,,,,
Acta1,0.906845238,6,1.32E-08,,,,
Parva,0.906473214,6,1.93E-12,,,,
Cdx1,0.905803571,6,2.41E-14,,,,
Slc39a2,0.903422619,6,2.03E-09,,,,
BC053393,0.90297619,6,2.45E-09,,,,
Eomes,0.902827381,6,8.45E-09,,,,
Tcfap2a,0.902529762,6,4.58E-10,,,,
Ddah1,0.902232143,6,2.39E-08,,,,
Cryab,0.902157738,6,1.08E-09,,,,
Gulp1,0.902008929,6,3.54E-11,,,,
Rassf4,0.901636905,6,2.48E-17,,,,
Enpp1,0.901041667,6,9.88E-11,,,,
Capg,0.89702381,6,4.43E-09,,,,
Pla2g10,0.89702381,6,1.86E-08,,,,
Ptgr1,0.895238095,6,5.58E-08,,,,
Gapdh,0.895089286,6,4.65E-08,,,,
Xlr4a,0.894494048,6,5.21E-08,,,,
Sri,0.89389881,6,1.92E-08,,,,
Lgmn,0.893229167,6,6.86E-08,,,,
2810405K02Rik,0.891592262,6,4.48E-09,,,,
S100a11,0.89077381,6,9.48E-08,,,,
Serpinb6c,0.889732143,6,7.04E-08,,,,
Arhgef5,0.889285714,6,3.76E-13,,,,
Vgll3,0.889136905,6,2.32E-16,,,,
Efna1,0.885491071,6,2.48E-08,,,,
Slc6a14,0.883482143,6,5.93E-08,,,,
Gm10639,0.883035714,6,1.38E-08,,,,
Wnt7b,0.882886905,6,1.06E-10,,,,
Tacstd2,0.8828125,6,1.28E-10,,,,
Tnfrsf9,0.882589286,6,1.05E-07,,,,
Dmrta2,0.881696429,6,1.83E-19,,,,
Pip5k1b,0.880208333,6,8.02E-10,,,,
Cdk14,0.880208333,6,5.34E-08,,,,
Myof,0.87983631,6,1.12E-12,,,,
Dmkn,0.879761905,6,2.21E-11,,,,
Src,0.879464286,6,3.65E-11,,,,
Fhl2,0.87827381,6,5.02E-10,,,,
Prickle3,0.876190476,6,5.07E-07,,,,
AA467197,0.875595238,6,4.81E-07,,,,
Ndufs4,0.875297619,6,5.59E-07,,,,
Basp1,0.874032738,6,1.93E-07,,,,
Dnmt3l,0.869345238,6,1.10E-06,,,,
S100a16,0.869196429,6,7.57E-13,,,,
Trap1a,0.869047619,6,1.08E-06,,,,
Plp2,0.867410714,6,1.34E-06,,,,
Dusp6,0.86547619,6,2.10E-07,,,,
Sdc4,0.861904762,6,2.47E-06,,,,
Epn3,0.861607143,6,4.71E-13,,,,
Cln6,0.861160714,6,2.77E-08,,,,
Prkag2,0.860342262,6,4.70E-08,,,,
Rnf144b,0.859672619,6,8.54E-16,,,,
Elovl1,0.858779762,6,3.34E-06,,,,
Capns1,0.858779762,6,3.16E-06,,,,
Slc44a4,0.858630952,6,9.21E-07,,,,
Efna4,0.858556548,6,5.42E-10,,,,
Isx,0.858110119,6,3.14E-24,,,,
Csrp2,0.854761905,6,3.51E-06,,,,
Zscan4c,1,7,2.66E-28,,,,
Rfpl4b,1,7,2.66E-28,,,,
Zscan4f,1,7,2.33E-31,,,,
Tob2,1,7,3.49E-12,,,,
Zscan4d,1,7,2.93E-27,,,,
Gm2022,1,7,1.90E-12,,,,
Zfp352,1,7,2.12E-19,,,,
Usp17l5,1,7,8.36E-21,,,,
Obox3,1,7,1.50E-20,,,,
Zscan4b,0.999815225,7,2.81E-28,,,,
Gm11756,0.999630451,7,2.95E-28,,,,
BB287469,0.999630451,7,2.62E-12,,,,
Gm428,0.999630451,7,3.46E-24,,,,
Gm5039,0.999445676,7,4.30E-16,,,,
Gm8300,0.999260902,7,6.54E-11,,,,
Gadd45a,0.999260902,7,9.74E-17,,,,
Gm7102,0.999260902,7,1.56E-11,,,,
Zscan4e,0.999260902,7,3.28E-28,,,,
Gm4971,0.999076127,7,3.77E-18,,,,
Klhl11,0.999076127,7,1.60E-11,,,,
AA415398,0.999076127,7,5.50E-20,,,,
Dcdc2c,0.998521803,7,3.05E-11,,,,
Zfp353,0.998521803,7,2.81E-16,,,,
Zscan4a,0.998521803,7,3.38E-34,,,,
Tmem92-ps,0.998337029,7,7.66E-11,,,,
Gm12794,0.998337029,7,9.98E-15,,,,
Dub1,0.998337029,7,1.86E-18,,,,
Gm11544,0.998337029,7,1.31E-12,,,,
BC080695,0.99796748,7,5.94E-23,,,,
Gm12789,0.997597931,7,1.67E-13,,,,
Gm2016,0.997413156,7,1.88E-11,,,,
Gm13109,0.997043607,7,2.71E-24,,,,
AU015228,0.996858832,7,2.90E-12,,,,
Gm11487,0.996674058,7,2.52E-19,,,,
Gm5662,0.996119734,7,4.55E-11,,,,
Pramef6,0.995934959,7,1.03E-10,,,,
Fiz1,0.995750185,7,8.96E-11,,,,
Ugt2b36,0.99556541,7,4.79E-23,,,,
Arsk,0.995380636,7,3.58E-13,,,,
Gm13078,0.995380636,7,1.10E-10,,,,
Foxj3,0.995380636,7,1.06E-10,,,,
Fzd7,0.995195861,7,2.87E-11,,,,
D030056L22Rik,0.995011086,7,1.09E-10,,,,
Jak2,0.994826312,7,2.24E-11,,,,
G2e3,0.994826312,7,3.58E-11,,,,
Gm13083,0.994826312,7,1.18E-10,,,,
Fam26f,0.994641537,7,2.72E-22,,,,
Arl4d,0.994456763,7,9.99E-16,,,,
Prmt6,0.994271988,7,8.37E-11,,,,
Tdpoz1,0.994271988,7,1.36E-15,,,,
Usp-ps,0.994271988,7,1.45E-13,,,,
Csrnp3,0.994087214,7,5.04E-15,,,,
Zfp54,0.994087214,7,6.28E-14,,,,
Gm9125,0.994087214,7,3.07E-17,,,,
Fbxo33,0.993717664,7,1.33E-10,,,,
Snai1,0.993348115,7,2.84E-11,,,,
5033411D12Rik,0.993348115,7,4.92E-28,,,,
Gm5,0.993348115,7,9.07E-16,,,,
Sva,0.993163341,7,5.00E-18,,,,
Gm4858,0.993163341,7,5.00E-18,,,,
Tchh,0.992978566,7,7.34E-24,,,,
Zfp707,0.992978566,7,7.12E-11,,,,
Tob1,0.992793792,7,5.01E-12,,,,
Wdr44,0.992793792,7,1.71E-11,,,,
Gm10696,0.992793792,7,4.87E-15,,,,
Fem1c,0.992609017,7,1.40E-10,,,,
Thap11,0.992609017,7,1.49E-10,,,,
Gm13101,0.992609017,7,1.89E-23,,,,
Arg2,0.992424242,7,5.26E-12,,,,
Gm4850,0.992239468,7,2.25E-22,,,,
Arfgef1,0.991869919,7,1.69E-10,,,,
Nrarp,0.991685144,7,2.77E-18,,,,
Nell1,0.991315595,7,4.54E-24,,,,
Rimklb,0.99113082,7,4.35E-11,,,,
Zfp664,0.99113082,7,1.85E-10,,,,
Col4a3bp,0.990946046,7,1.61E-10,,,,
Arap2,0.990946046,7,9.13E-11,,,,
Dub1a,0.990946046,7,4.81E-19,,,,
Gpr50,0.990761271,7,2.95E-23,,,,
Sh2d3c,0.990576497,7,4.24E-15,,,,
Zscan5b,0.990391722,7,4.29E-12,,,,
Dcc,0.990206948,7,3.00E-21,,,,
Olfr376,0.989837398,7,3.74E-25,,,,
4933411G11Rik,0.989467849,7,4.11E-25,,,,
Slc16a6,0.989467849,7,1.96E-10,,,,
Sepx1,0.989283075,7,2.29E-10,,,,
Antxr1,0.9890983,7,1.63E-17,,,,
Sp6,0.9890983,7,1.12E-14,,,,
Gm6568,0.9890983,7,5.88E-11,,,,
1600025M17Rik,0.988728751,7,2.37E-22,,,,
Pde12,0.987989653,7,2.30E-10,,,,
Ppp1r15a,0.987989653,7,2.36E-10,,,,
Gm12824,0.987989653,7,1.77E-20,,,,
Cbll1,0.987989653,7,2.69E-10,,,,
Snora2b,0.987804878,7,2.93E-22,,,,
1600015I10Rik,0.987804878,7,2.06E-30,,,,
Ddit4l,0.987435329,7,9.33E-11,,,,
Gdap1,0.98706578,7,9.61E-15,,,,
Pcyt1a,0.98706578,7,3.00E-10,,,,
Gm15455,0.986326681,7,3.10E-10,,,,
Abca13,0.986141907,7,7.02E-11,,,,
Tmem132c,0.986141907,7,8.68E-20,,,,
N4bp2,0.985957132,7,2.92E-10,,,,
Spz1,0.985587583,7,1.85E-23,,,,
Rnf122,0.985402809,7,2.75E-10,,,,
Stradb,0.985033259,7,6.55E-11,,,,
Sac3d1,0.984848485,7,3.37E-10,,,,
Bmi1,0.98466371,7,3.72E-10,,,,
Lonrf3,0.984478936,7,7.00E-12,,,,
Tpo,0.984294161,7,1.04E-23,,,,
Lipo1,0.984294161,7,7.18E-14,,,,
Mepce,0.984109387,7,3.84E-10,,,,
Eid2,0.984109387,7,1.77E-12,,,,
Hspa1a,0.983924612,7,1.01E-15,,,,
Pou2f2,0.983924612,7,3.14E-18,,,,
Utp14b,0.983739837,7,3.84E-10,,,,
Yy2,0.983739837,7,1.58E-10,,,,
Pxt1,0.983555063,7,3.61E-13,,,,
Jazf1,0.983185514,7,1.52E-16,,,,
Stxbp5,0.983000739,7,2.99E-10,,,,
Cntln,0.983000739,7,5.46E-13,,,,
Gli3,0.983000739,7,1.58E-12,,,,
Dnajb14,0.983000739,7,1.79E-10,,,,
Tacr3,0.98263119,7,2.83E-27,,,,
Gm5941,0.98263119,7,7.64E-28,,,,
Ttn,0.982446415,7,3.84E-10,,,,
Tdpoz3,0.982446415,7,2.98E-27,,,,
Plk2,0.982261641,7,9.77E-13,,,,
Foxm1,0.981707317,7,5.13E-10,,,,
Cstf2t,0.981707317,7,5.17E-10,,,,
Lin54,0.981522542,7,5.03E-10,,,,
Crk,0.981337768,7,5.85E-10,,,,
Hsf1,0.981337768,7,5.88E-10,,,,
Arid5a,0.980783444,7,1.23E-13,,,,
Tgs1,0.980783444,7,6.28E-10,,,,
Pde3b,0.980783444,7,1.33E-18,,,,
Slc30a1,0.98059867,7,3.80E-10,,,,
Phf1,0.98059867,7,1.24E-12,,,,
Arhgap29,0.98059867,7,5.60E-10,,,,
Gcap14,0.980413895,7,5.73E-10,,,,
Rpl3l,0.98022912,7,5.55E-27,,,,
Zmynd19,0.980044346,7,6.08E-10,,,,
Akap17b,0.979674797,7,1.02E-10,,,,
Tiparp,0.979490022,7,6.94E-10,,,,
Cdr2,0.979490022,7,1.45E-12,,,,
Cdkn2d,0.979490022,7,3.94E-10,,,,
Dtx4,0.979305248,7,9.73E-22,,,,
1700013G24Rik,0.979305248,7,1.10E-30,,,,
Gpatch3,0.979120473,7,6.91E-13,,,,
Prr23a,0.978750924,7,2.23E-14,,,,
Serpini1,0.978566149,7,1.24E-18,,,,
4931406P16Rik,0.978566149,7,8.06E-10,,,,
Slc35e3,0.978381375,7,6.47E-10,,,,
AA792892,0.978381375,7,5.28E-17,,,,
Arl2bp,0.978381375,7,1.37E-19,,,,
B020004J07Rik,0.978381375,7,2.39E-10,,,,
Zfp775,0.9781966,7,1.61E-10,,,,
Snapc2,0.978011826,7,7.50E-10,,,,
Tnfaip8l2,0.978011826,7,1.56E-17,,,,
Ccdc88a,0.977827051,7,2.56E-10,,,,
A630007B06Rik,0.977827051,7,3.70E-10,,,,
Ubtfl1,0.977642276,7,2.10E-10,,,,
Bri3,0.977457502,7,9.21E-10,,,,
Zfp791,0.977457502,7,9.36E-12,,,,
Kif5c,0.977087953,7,3.15E-16,,,,
Zbtb5,0.977087953,7,1.25E-10,,,,
Siah2,0.976903178,7,3.96E-13,,,,
Il17rd,0.976533629,7,1.59E-10,,,,
Sycp2,0.976348854,7,4.96E-15,,,,
Intu,0.976348854,7,4.29E-13,,,,
Mybl1,0.97616408,7,1.56E-14,,,,
Ankrd22,0.97616408,7,7.97E-17,,,,
Fam171b,0.975979305,7,1.82E-26,,,,
Gm6406,0.975979305,7,3.50E-20,,,,
Olfr815,0.975794531,7,2.13E-34,,,,
0610040J01Rik,0.975794531,7,2.38E-17,,,,
Tex15,0.975609756,7,1.59E-12,,,,
Omt2b,0.975609756,7,3.98E-13,,,,
Brwd3,0.975424982,7,1.15E-09,,,,
Dgkb,0.975424982,7,1.10E-21,,,,
Bfsp1,0.975424982,7,7.72E-14,,,,
Hspa1b,0.975055432,7,3.14E-14,,,,
1700010D01Rik,0.975055432,7,7.59E-25,,,,
Rbmx2,0.975055432,7,1.16E-09,,,,
Mrc1,0.975055432,7,4.34E-28,,,,
Lysmd1,0.974685883,7,2.87E-12,,,,
A130040M12Rik,0.974501109,7,1.24E-09,,,,
Zranb1,0.974501109,7,9.13E-10,,,,
C230081A13Rik,0.974501109,7,1.25E-09,,,,
Ubap1,0.974316334,7,1.31E-09,,,,
Usp29,0.974316334,7,7.81E-11,,,,
Gm1564,0.974131559,7,1.31E-17,,,,
Plekha8,0.973946785,7,1.13E-09,,,,
Duoxa2,0.973854398,7,1.44E-28,,,,
Ccdc125,0.97376201,7,1.36E-09,,,,
Cyp39a1,0.97376201,7,7.32E-22,,,,
Lepr,0.973577236,7,1.40E-09,,,,
Csnk1g3,0.973577236,7,1.34E-09,,,,
Dnase1l3,0.973577236,7,1.12E-24,,,,
Zfp560,0.973577236,7,1.03E-13,,,,
Gabra3,0.973392461,7,2.42E-23,,,,
Rsbn1l,0.973207687,7,1.48E-09,,,,
Eea1,0.973207687,7,1.47E-09,,,,
Cdc37l1,0.973022912,7,8.22E-10,,,,
Mfsd2a,0.973022912,7,1.92E-21,,,,
Znhit2-ps,0.972838137,7,1.02E-10,,,,
Zfp622,0.972653363,7,1.59E-09,,,,
Zfp703,0.972653363,7,3.45E-13,,,,
Pin1-ps1,0.972653363,7,1.52E-09,,,,
Stau1,0.972468588,7,1.62E-09,,,,
Sgms2,0.972468588,7,2.34E-16,,,,
BB557941,0.972468588,7,1.57E-16,,,,
Orai1,0.972283814,7,7.93E-14,,,,
Bspry,0.972283814,7,7.37E-10,,,,
Zfp654,0.972099039,7,1.30E-09,,,,
Slc7a6os,0.971914265,7,1.72E-09,,,,
Omt2a,0.971914265,7,1.18E-12,,,,
Cttnbp2nl,0.971544715,7,4.20E-10,,,,
Gm13691|Gm13693|Gm13694|Gm13695|Gm13696|Gm13697|Gm13698,0.971359941,7,1.42E-09,,,,
Phc2,0.971359941,7,7.47E-10,,,,
Spire1,0.971359941,7,1.33E-11,,,,
Cnnm2,0.971175166,7,1.76E-09,,,,
Usp38,0.971175166,7,1.88E-09,,,,
Mesp2,0.970990392,7,4.93E-15,,,,
Card6,0.970990392,7,9.04E-15,,,,
Nexn,0.970990392,7,7.80E-10,,,,
Per3,0.970805617,7,1.12E-11,,,,
Nf1,0.970805617,7,1.01E-09,,,,
Bicd2,0.970620843,7,6.33E-10,,,,
Tex11,0.970436068,7,6.05E-20,,,,
Fhod3,0.970251293,7,7.59E-15,,,,
Zfp367,0.970066519,7,1.95E-09,,,,
Hmgn3,0.969881744,7,4.49E-19,,,,
Usp42,0.969881744,7,1.99E-09,,,,
Syde1,0.969881744,7,2.84E-26,,,,
Rc3h1,0.969881744,7,2.19E-09,,,,
Plekha3,0.96969697,7,4.54E-10,,,,
Dis3l,0.969512195,7,5.61E-11,,,,
Speer7-ps1,0.969512195,7,9.12E-21,,,,
Krt84,0.969327421,7,1.59E-18,,,,
Elavl2,0.969327421,7,3.85E-11,,,,
Tmem184c,0.969142646,7,1.69E-09,,,,
Rev3l,0.969142646,7,2.32E-09,,,,
Syne1,0.968957871,7,9.76E-19,,,,
Vil1,0.968957871,7,4.01E-13,,,,
E330012B07Rik,0.968957871,7,1.27E-24,,,,
Sec16b,0.968773097,7,1.43E-17,,,,
Atf7ip2,0.968773097,7,1.05E-09,,,,
Lpar6,0.968588322,7,4.11E-24,,,,
Myst3,0.968403548,7,2.57E-09,,,,
Cml2,0.968403548,7,2.51E-11,,,,
2610020C07Rik,0.968403548,7,2.54E-09,,,,
Pgm2l1,0.968218773,7,1.95E-10,,,,
Ptger4,0.968033999,7,2.61E-20,,,,
Slc22a28,0.967941611,7,1.34E-26,,,,
Pde4d,0.967479675,7,6.02E-11,,,,
Dnahc9,0.967479675,7,7.41E-19,,,,
9430038I01Rik,0.9672949,7,2.86E-09,,,,
Gda,0.9672949,7,1.80E-16,,,,
Tnrc6b,0.967110126,7,2.77E-09,,,,
Gja3,0.967110126,7,2.07E-24,,,,
Mtap1b,0.966925351,7,2.05E-12,,,,
Tmcc2,0.966740576,7,7.81E-18,,,,
Syt11,0.966371027,7,2.61E-11,,,,
Gcm2,0.966371027,7,2.02E-23,,,,
Fgf1,0.966186253,7,8.13E-15,,,,
AY761184,0.966186253,7,5.17E-18,,,,
Larp1b,0.966001478,7,3.30E-09,,,,
Gm14851,0.966001478,7,2.01E-20,,,,
Gtdc1,0.965816704,7,3.46E-10,,,,
Ankrd6,0.965816704,7,1.90E-09,,,,
Ugt8a,0.96526238,7,1.80E-22,,,,
Tsc22d2,0.96526238,7,3.55E-09,,,,
Pramef17,0.96526238,7,5.04E-10,,,,
Nanos1,0.965077605,7,3.10E-11,,,,
Cxcl16,0.965077605,7,5.03E-20,,,,
Defa-rs1,0.965077605,7,2.17E-18,,,,
Smurf2,0.964892831,7,3.81E-09,,,,
Fam199x,0.964708056,7,5.02E-13,,,,
Rundc3b,0.964523282,7,3.51E-14,,,,
Fchsd2,0.964523282,7,5.87E-11,,,,
Fam179b,0.964523282,7,3.63E-09,,,,
Tbxa2r,0.964523282,7,1.10E-32,,,,
Limch1,0.964523282,7,2.31E-11,,,,
Cntnap1,0.963968958,7,8.05E-18,,,,
Irf1,0.963784183,7,6.45E-15,,,,
Speer4e,0.963599409,7,1.15E-15,,,,
Rpia,0.963414634,7,4.47E-09,,,,
Fbxl12,0.963414634,7,1.26E-09,,,,
Tnik,0.96322986,7,6.69E-17,,,,
Fam109a,0.96322986,7,2.49E-09,,,,
Slc10a3,0.963045085,7,8.76E-11,,,,
Pnma3,0.963045085,7,1.75E-12,,,,
Slc16a1,0.963045085,7,4.72E-09,,,,
